===============================================================================================
🚀 KHỞI ĐỘNG HUẤN LUYỆN BASELINE - THIẾT BỊ: cuda
Batch Size: 4 | Epochs: 50 | LR: 0.0001
===============================================================================================
Epoch 38 | Train Loss: 0.1260 | Val Loss: 0.1429 | Dice: 0.8788 | IoU: 0.7913 | Pre: 0.8827 | Rec: 0.8849
Epoch 39 | Train Loss: 0.1237 | Val Loss: 0.1474 | Dice: 0.8752 | IoU: 0.7852 | Pre: 0.8940 | Rec: 0.8671
Epoch 40 | Train Loss: 0.1235 | Val Loss: 0.1470 | Dice: 0.8750 | IoU: 0.7852 | Pre: 0.9037 | Rec: 0.8585
Epoch 41 | Train Loss: 0.1242 | Val Loss: 0.1380 | Dice: 0.8824 | IoU: 0.7962 | Pre: 0.8885 | Rec: 0.8863
Epoch 42 | Train Loss: 0.1215 | Val Loss: 0.1377 | Dice: 0.8839 | IoU: 0.7982 | Pre: 0.8823 | Rec: 0.8962
Epoch 43 | Train Loss: 0.1185 | Val Loss: 0.1354 | Dice: 0.8842 | IoU: 0.7993 | Pre: 0.8917 | Rec: 0.8873
Epoch 44 | Train Loss: 0.1167 | Val Loss: 0.1513 | Dice: 0.8717 | IoU: 0.7798 | Pre: 0.8929 | Rec: 0.8628
🥇 [BEST] Epoch 45 | Train Loss: 0.1149 | Val Loss: 0.1362 | Dice: 0.8851 | IoU: 0.8001 | Pre: 0.8810 | Rec: 0.8996
Epoch 46 | Train Loss: 0.1117 | Val Loss: 0.1382 | Dice: 0.8817 | IoU: 0.7961 | Pre: 0.8834 | Rec: 0.8909
Epoch 47 | Train Loss: 0.1103 | Val Loss: 0.1412 | Dice: 0.8797 | IoU: 0.7933 | Pre: 0.8736 | Rec: 0.8966
Epoch 48 | Train Loss: 0.1118 | Val Loss: 0.1354 | Dice: 0.8840 | IoU: 0.7988 | Pre: 0.8911 | Rec: 0.8880
Epoch 49 | Train Loss: 0.1080 | Val Loss: 0.1442 | Dice: 0.8775 | IoU: 0.7894 | Pre: 0.8953 | Rec: 0.8718
Epoch 50 | Train Loss: 0.1066 | Val Loss: 0.1438 | Dice: 0.8779 | IoU: 0.7905 | Pre: 0.8972 | Rec: 0.8704
