===============================================================================================
🚀 KHỞI ĐỘNG HUẤN LUYỆN BASELINE - THIẾT BỊ: cuda
Batch Size: 8 | Epochs: 50 | LR: 0.0001
===============================================================================================
Epoch 039 | Train Loss: 0.4600 | Val Loss: 0.7575 | Dice: 0.3518 | IoU: 0.2657 | Pre: 0.3951 | Rec: 0.3796
Epoch 040 | Train Loss: 0.4528 | Val Loss: 0.8099 | Dice: 0.3163 | IoU: 0.2377 | Pre: 0.4140 | Rec: 0.3275
Epoch 041 | Train Loss: 0.4395 | Val Loss: 0.7679 | Dice: 0.3473 | IoU: 0.2614 | Pre: 0.4253 | Rec: 0.3773
Epoch 042 | Train Loss: 0.4277 | Val Loss: 0.7649 | Dice: 0.3456 | IoU: 0.2633 | Pre: 0.4160 | Rec: 0.3650
Epoch 043 | Train Loss: 0.4277 | Val Loss: 0.7732 | Dice: 0.3430 | IoU: 0.2575 | Pre: 0.3583 | Rec: 0.4257
Epoch 044 | Train Loss: 0.4334 | Val Loss: 0.7799 | Dice: 0.3426 | IoU: 0.2600 | Pre: 0.4208 | Rec: 0.3633
Epoch 045 | Train Loss: 0.4346 | Val Loss: 0.7931 | Dice: 0.3295 | IoU: 0.2488 | Pre: 0.4058 | Rec: 0.3606
Epoch 046 | Train Loss: 0.4219 | Val Loss: 0.7654 | Dice: 0.3493 | IoU: 0.2632 | Pre: 0.3895 | Rec: 0.4177
Epoch 047 | Train Loss: 0.4022 | Val Loss: 0.8240 | Dice: 0.3114 | IoU: 0.2350 | Pre: 0.3971 | Rec: 0.3193
Epoch 048 | Train Loss: 0.4023 | Val Loss: 0.7795 | Dice: 0.3366 | IoU: 0.2528 | Pre: 0.3783 | Rec: 0.3875
Epoch 049 | Train Loss: 0.4030 | Val Loss: 0.7682 | Dice: 0.3451 | IoU: 0.2587 | Pre: 0.3734 | Rec: 0.4249
Epoch 050 | Train Loss: 0.4259 | Val Loss: 0.8444 | Dice: 0.3003 | IoU: 0.2263 | Pre: 0.4182 | Rec: 0.2987
